CENSUSKEY,OFFENSE
Census Tract 1,19
Census Tract 10.01,19
Census Tract 10.02,5
Census Tract 101,14
Census Tract 102,15
Census Tract 103,6
Census Tract 104,19
Census Tract 105,4
Census Tract 106,34
Census Tract 107,27
Census Tract 108,9
Census Tract 109,12
Census Tract 11,15
Census Tract 110,5
Census Tract 111,74
Census Tract 12,8
Census Tract 13.02,2
Census Tract 14.01,5
Census Tract 14.02,1
Census Tract 15,14
Census Tract 16,16
Census Tract 17.02,13
Census Tract 18.03,3
Census Tract 18.04,12
Census Tract 19.01,19
Census Tract 19.02,10
Census Tract 2.01,1
Census Tract 2.02,15
Census Tract 20.01,3
Census Tract 20.02,15
Census Tract 21.01,15
Census Tract 21.02,17
Census Tract 22.01,9
Census Tract 22.02,14
Census Tract 23.01,8
Census Tract 23.02,7
Census Tract 24,12
Census Tract 25.01,12
Census Tract 25.02,19
Census Tract 26,8
Census Tract 27.01,11
Census Tract 27.02,23
Census Tract 28.01,11
Census Tract 28.02,8
Census Tract 29,8
Census Tract 3,13
Census Tract 30,11
Census Tract 31,8
Census Tract 32,18
Census Tract 33.01,16
Census Tract 33.02,15
Census Tract 34,21
Census Tract 35,19
Census Tract 36,12
Census Tract 37,20
Census Tract 38,14
Census Tract 39,9
Census Tract 4,7
Census Tract 40.01,10
Census Tract 40.02,7
Census Tract 41,5
Census Tract 42.01,4
Census Tract 42.02,7
Census Tract 43,13
Census Tract 44,42
Census Tract 46,8
Census Tract 47.01,3
Census Tract 47.02,7
Census Tract 48.01,10
Census Tract 48.02,9
Census Tract 49.01,14
Census Tract 49.02,10
Census Tract 5.01,3
Census Tract 5.02,2
Census Tract 50.01,7
Census Tract 50.02,7
Census Tract 52.01,23
Census Tract 53.01,7
Census Tract 55,15
Census Tract 56,10
Census Tract 58,25
Census Tract 59,4
Census Tract 6,20
Census Tract 62.02,13
Census Tract 64,8
Census Tract 65,4
Census Tract 66,2
Census Tract 67,9
Census Tract 68.01,3
Census Tract 68.02,10
Census Tract 68.04,1
Census Tract 69,6
Census Tract 7.01,6
Census Tract 7.02,5
Census Tract 70,11
Census Tract 71,7
Census Tract 72,14
Census Tract 73.04,15
Census Tract 74.01,20
Census Tract 74.03,5
Census Tract 74.04,16
Census Tract 74.06,9
Census Tract 74.07,16
Census Tract 74.08,4
Census Tract 74.09,18
Census Tract 75.02,17
Census Tract 75.03,19
Census Tract 75.04,23
Census Tract 76.01,23
Census Tract 76.03,31
Census Tract 76.04,18
Census Tract 76.05,11
Census Tract 77.03,24
Census Tract 77.07,30
Census Tract 77.08,22
Census Tract 77.09,19
Census Tract 78.03,57
Census Tract 78.04,32
Census Tract 78.06,23
Census Tract 78.07,11
Census Tract 78.08,28
Census Tract 78.09,21
Census Tract 79.01,15
Census Tract 79.03,8
Census Tract 8.01,11
Census Tract 8.02,3
Census Tract 80.01,14
Census Tract 80.02,7
Census Tract 81,6
Census Tract 82,4
Census Tract 83.01,2
Census Tract 83.02,11
Census Tract 84.02,8
Census Tract 84.10,10
Census Tract 87.01,11
Census Tract 87.02,12
Census Tract 88.02,16
Census Tract 88.03,32
Census Tract 88.04,20
Census Tract 89.03,4
Census Tract 89.04,15
Census Tract 9.01,22
Census Tract 9.02,7
Census Tract 90,7
Census Tract 91.02,15
Census Tract 92.01,6
Census Tract 92.03,13
Census Tract 92.04,9
Census Tract 93.01,15
Census Tract 93.02,4
Census Tract 94,16
Census Tract 95.01,14
Census Tract 95.03,12
Census Tract 95.04,18
Census Tract 95.05,15
Census Tract 95.07,4
Census Tract 95.08,13
Census Tract 95.09,6
Census Tract 96.01,31
Census Tract 96.02,26
Census Tract 96.03,31
Census Tract 96.04,16
Census Tract 97,19
Census Tract 98.01,8
Census Tract 98.02,2
Census Tract 98.03,8
Census Tract 98.04,8
Census Tract 98.07,14
Census Tract 98.10,12
Census Tract 98.11,13
Census Tract 99.01,16
Census Tract 99.02,23
Census Tract 99.03,15
Census Tract 99.04,21
Census Tract 99.05,25
Census Tract 99.06,11
Census Tract 99.07,13
