CENSUSKEY,OFFENSE
Census Tract 1,231
Census Tract 10.01,162
Census Tract 10.02,15
Census Tract 101,136
Census Tract 102,138
Census Tract 103,65
Census Tract 104,31
Census Tract 105,35
Census Tract 106,223
Census Tract 107,223
Census Tract 108,40
Census Tract 109,24
Census Tract 11,103
Census Tract 110,27
Census Tract 111,293
Census Tract 12,52
Census Tract 13.01,16
Census Tract 13.02,16
Census Tract 14.01,43
Census Tract 14.02,27
Census Tract 15,72
Census Tract 16,141
Census Tract 17.02,147
Census Tract 18.03,34
Census Tract 18.04,90
Census Tract 19.01,118
Census Tract 19.02,47
Census Tract 2.01,7
Census Tract 2.02,129
Census Tract 20.01,24
Census Tract 20.02,49
Census Tract 21.01,21
Census Tract 21.02,67
Census Tract 22.01,23
Census Tract 22.02,18
Census Tract 23.01,25
Census Tract 23.02,30
Census Tract 24,41
Census Tract 25.01,47
Census Tract 25.02,80
Census Tract 26,40
Census Tract 27.01,36
Census Tract 27.02,40
Census Tract 28.01,31
Census Tract 28.02,113
Census Tract 29,77
Census Tract 3,46
Census Tract 30,92
Census Tract 31,173
Census Tract 32,52
Census Tract 33.01,30
Census Tract 33.02,77
Census Tract 34,143
Census Tract 35,300
Census Tract 36,55
Census Tract 37,56
Census Tract 38,71
Census Tract 39,32
Census Tract 4,23
Census Tract 40.01,33
Census Tract 40.02,29
Census Tract 41,37
Census Tract 42.01,30
Census Tract 42.02,60
Census Tract 43,91
Census Tract 44,583
Census Tract 46,74
Census Tract 47.01,90
Census Tract 47.02,153
Census Tract 48.01,174
Census Tract 48.02,44
Census Tract 49.01,142
Census Tract 49.02,151
Census Tract 5.01,19
Census Tract 5.02,32
Census Tract 50.01,134
Census Tract 50.02,68
Census Tract 52.01,145
Census Tract 53.01,95
Census Tract 55,137
Census Tract 56,34
Census Tract 58,231
Census Tract 59,39
Census Tract 6,52
Census Tract 62.02,27
Census Tract 64,29
Census Tract 65,52
Census Tract 66,30
Census Tract 67,41
Census Tract 68.01,19
Census Tract 68.02,27
Census Tract 68.04,9
Census Tract 69,62
Census Tract 7.01,21
Census Tract 7.02,8
Census Tract 70,90
Census Tract 71,67
Census Tract 72,108
Census Tract 73.04,30
Census Tract 74.01,66
Census Tract 74.03,15
Census Tract 74.04,27
Census Tract 74.06,17
Census Tract 74.07,41
Census Tract 74.08,11
Census Tract 74.09,35
Census Tract 75.02,23
Census Tract 75.03,74
Census Tract 75.04,29
Census Tract 76.01,84
Census Tract 76.03,109
Census Tract 76.04,56
Census Tract 76.05,27
Census Tract 77.03,64
Census Tract 77.07,45
Census Tract 77.08,32
Census Tract 77.09,27
Census Tract 78.03,69
Census Tract 78.04,47
Census Tract 78.06,56
Census Tract 78.07,35
Census Tract 78.08,51
Census Tract 78.09,33
Census Tract 79.01,30
Census Tract 79.03,17
Census Tract 8.01,49
Census Tract 8.02,21
Census Tract 80.01,27
Census Tract 80.02,30
Census Tract 81,41
Census Tract 82,32
Census Tract 83.01,68
Census Tract 83.02,48
Census Tract 84.02,56
Census Tract 84.10,50
Census Tract 87.01,44
Census Tract 87.02,43
Census Tract 88.02,66
Census Tract 88.03,272
Census Tract 88.04,64
Census Tract 89.03,13
Census Tract 89.04,38
Census Tract 9.01,57
Census Tract 9.02,48
Census Tract 90,66
Census Tract 91.02,80
Census Tract 92.01,92
Census Tract 92.03,37
Census Tract 92.04,61
Census Tract 93.01,85
Census Tract 93.02,29
Census Tract 94,81
Census Tract 95.01,56
Census Tract 95.03,64
Census Tract 95.04,69
Census Tract 95.05,132
Census Tract 95.07,22
Census Tract 95.08,45
Census Tract 95.09,34
Census Tract 96.01,41
Census Tract 96.02,41
Census Tract 96.03,68
Census Tract 96.04,25
Census Tract 97,14
Census Tract 98.01,14
Census Tract 98.02,5
Census Tract 98.03,20
Census Tract 98.04,24
Census Tract 98.07,26
Census Tract 98.10,11
Census Tract 98.11,11
Census Tract 99.01,35
Census Tract 99.02,73
Census Tract 99.03,41
Census Tract 99.04,50
Census Tract 99.05,34
Census Tract 99.06,11
Census Tract 99.07,16
