CENSUSKEY,OFFENSE
Census Tract 1,13
Census Tract 10.01,6
Census Tract 10.02,1
Census Tract 101,16
Census Tract 102,7
Census Tract 103,3
Census Tract 104,30
Census Tract 105,4
Census Tract 106,21
Census Tract 107,24
Census Tract 108,5
Census Tract 109,9
Census Tract 11,2
Census Tract 110,1
Census Tract 111,29
Census Tract 12,3
Census Tract 13.02,3
Census Tract 15,1
Census Tract 16,4
Census Tract 17.02,9
Census Tract 18.03,2
Census Tract 18.04,11
Census Tract 19.01,2
Census Tract 19.02,2
Census Tract 2.02,7
Census Tract 20.01,1
Census Tract 20.02,11
Census Tract 21.01,15
Census Tract 21.02,5
Census Tract 22.01,5
Census Tract 22.02,7
Census Tract 23.01,3
Census Tract 23.02,3
Census Tract 24,2
Census Tract 25.01,5
Census Tract 25.02,16
Census Tract 27.01,1
Census Tract 27.02,11
Census Tract 28.01,8
Census Tract 28.02,12
Census Tract 29,5
Census Tract 3,2
Census Tract 30,12
Census Tract 31,12
Census Tract 32,7
Census Tract 33.01,2
Census Tract 33.02,3
Census Tract 34,13
Census Tract 35,11
Census Tract 36,3
Census Tract 37,11
Census Tract 38,8
Census Tract 39,2
Census Tract 40.01,3
Census Tract 40.02,2
Census Tract 41,2
Census Tract 42.01,3
Census Tract 42.02,1
Census Tract 43,7
Census Tract 44,20
Census Tract 46,17
Census Tract 47.01,8
Census Tract 47.02,7
Census Tract 48.01,4
Census Tract 48.02,1
Census Tract 49.01,9
Census Tract 49.02,8
Census Tract 5.01,4
Census Tract 50.01,2
Census Tract 50.02,3
Census Tract 52.01,12
Census Tract 53.01,4
Census Tract 55,14
Census Tract 56,5
Census Tract 58,12
Census Tract 59,11
Census Tract 6,2
Census Tract 62.02,4
Census Tract 64,12
Census Tract 65,1
Census Tract 67,2
Census Tract 68.01,1
Census Tract 68.02,1
Census Tract 68.04,14
Census Tract 69,2
Census Tract 7.01,1
Census Tract 70,2
Census Tract 71,3
Census Tract 72,7
Census Tract 73.04,28
Census Tract 74.01,18
Census Tract 74.03,13
Census Tract 74.04,15
Census Tract 74.06,8
Census Tract 74.07,16
Census Tract 74.08,19
Census Tract 74.09,19
Census Tract 75.02,20
Census Tract 75.03,27
Census Tract 75.04,29
Census Tract 76.01,39
Census Tract 76.03,10
Census Tract 76.04,13
Census Tract 76.05,10
Census Tract 77.03,28
Census Tract 77.07,31
Census Tract 77.08,10
Census Tract 77.09,10
Census Tract 78.03,26
Census Tract 78.04,18
Census Tract 78.06,15
Census Tract 78.07,16
Census Tract 78.08,21
Census Tract 78.09,13
Census Tract 79.01,37
Census Tract 79.03,13
Census Tract 8.01,1
Census Tract 80.01,3
Census Tract 81,1
Census Tract 83.02,5
Census Tract 84.02,7
Census Tract 84.10,3
Census Tract 87.01,5
Census Tract 87.02,6
Census Tract 88.02,28
Census Tract 88.03,17
Census Tract 88.04,20
Census Tract 89.03,20
Census Tract 89.04,24
Census Tract 9.01,1
Census Tract 9.02,1
Census Tract 90,5
Census Tract 91.02,29
Census Tract 92.01,7
Census Tract 92.03,7
Census Tract 92.04,8
Census Tract 93.01,6
Census Tract 93.02,6
Census Tract 94,5
Census Tract 95.01,8
Census Tract 95.03,1
Census Tract 95.04,3
Census Tract 95.05,6
Census Tract 95.07,2
Census Tract 95.08,3
Census Tract 96.01,19
Census Tract 96.02,21
Census Tract 96.03,31
Census Tract 96.04,3
Census Tract 97,12
Census Tract 98.01,10
Census Tract 98.02,5
Census Tract 98.03,9
Census Tract 98.04,16
Census Tract 98.07,18
Census Tract 98.10,19
Census Tract 98.11,34
Census Tract 99.01,2
Census Tract 99.02,4
Census Tract 99.03,11
Census Tract 99.04,20
Census Tract 99.05,18
Census Tract 99.06,6
Census Tract 99.07,22
