,NAME,POPULATION,POVERTY_COUNT,CRIMES_COUNT,MEDIAN_INCOME,UNEMPLOYMENT
0,Census Tract 1,5160,290,13,191146,2.4
1,Census Tract 2.01,3817,0,0,,5.5
2,Census Tract 2.02,4541,599,7,170987,3.5
3,Census Tract 3,6334,1100,2,152120,2.6
4,Census Tract 4,1428,131,0,126731,0.7
5,Census Tract 5.01,3545,166,4,116303,2
6,Census Tract 5.02,3371,114,0,142750,3.3
7,Census Tract 6,4969,252,2,177759,0.9
8,Census Tract 7.01,5873,776,1,98750,2.3
9,Census Tract 7.02,3355,422,0,69292,7.9
10,Census Tract 8.01,6426,812,1,144922,11
11,Census Tract 8.02,3567,370,0,114091,2.2
12,Census Tract 9.01,7448,225,1,250001,7.3
13,Census Tract 9.02,2564,55,1,217708,2.9
14,Census Tract 10.01,7742,358,6,179762,1.8
15,Census Tract 10.02,3519,727,1,102479,7.8
16,Census Tract 11,5110,230,2,147727,4.1
17,Census Tract 12,5247,223,3,126250,2.6
18,Census Tract 13.01,4133,179,0,127000,5.4
19,Census Tract 13.02,7623,777,3,107256,3.1
20,Census Tract 20.02,4304,390,11,95469,6.2
21,Census Tract 22.01,3169,243,5,69643,11.5
22,Census Tract 22.02,3476,321,7,63750,7
23,Census Tract 23.01,3599,232,3,133672,8.2
24,Census Tract 23.02,1670,264,3,53750,5.2
25,Census Tract 24,4206,378,2,102424,3.9
26,Census Tract 25.01,3289,455,5,79000,1.8
27,Census Tract 25.02,6451,935,16,75101,5.1
28,Census Tract 26,2585,159,0,184750,6.6
29,Census Tract 27.01,6183,936,1,74161,3
30,Census Tract 27.02,6263,695,11,93553,4
31,Census Tract 28.01,4151,943,8,56310,6.1
32,Census Tract 28.02,5172,1097,12,73889,7.9
33,Census Tract 29,4424,465,5,95052,3.9
34,Census Tract 30,3719,828,12,93523,5.5
35,Census Tract 31,3409,301,12,109000,5.9
36,Census Tract 32,5486,837,7,101012,11.1
37,Census Tract 33.01,4219,287,2,123868,4.5
38,Census Tract 33.02,2308,243,3,127336,3.9
39,Census Tract 34,4911,458,13,91761,5.8
40,Census Tract 35,5173,527,11,91638,7.6
41,Census Tract 36,4904,927,3,100417,2.8
42,Census Tract 37,5461,1478,11,74980,6.3
